router,n_points,min_cost,max_quality,aiq,apgr,seed
oracle,38,4.4755631679912304e-05,0.9131063305015074,0.9088131621542948,1.2533948822932945,42
matrix-factorization,23,4.57962181419567e-05,0.7853864072348589,0.7520041055183355,0.9295870478374281,42
knn-embedding,35,4.57962181419567e-05,0.7829679364209373,0.7513391615603122,0.9284557566585685,42
contrastive,31,4.57962181419567e-05,0.7686352425322006,0.7392624697500196,0.9034096385292152,42
cascade,21,4.57962181419567e-05,0.7826801863524253,0.6337128013996554,0.6868435010327163,42
random-mix,21,4.57962181419567e-05,0.7826801863524253,0.5415682625884974,0.4984180150117025,42
always-cheapest,1,4.57962181419567e-05,0.3020005480953686,,,42
always-best,1,0.003280087695258975,0.7826801863524253,,,42
oracle,37,4.4891984105234316e-05,0.9134899972595231,0.9092967422369054,1.2657696639821117,43
knn-embedding,30,4.6006631953959994e-05,0.7741847081392162,0.7464002906866093,0.9236140512394124,43
matrix-factorization,23,4.6006631953959994e-05,0.7802137571937517,0.745934330383327,0.9226962519670335,43
contrastive,34,4.6006631953959994e-05,0.7766442861057824,0.7391368726343991,0.9084081210298376,43
cascade,21,4.6006631953959994e-05,0.7793916141408606,0.6354223661725733,0.692338708132183,43
random-mix,21,4.6006631953959994e-05,0.7793916141408606,0.5431130302317114,0.500274988465839,43
always-cheapest,1,4.6006631953959994e-05,0.3065702932310222,,,43
always-best,1,0.003297725404220334,0.7793916141408606,,,43
oracle,37,4.480390517950123e-05,0.9106947108796931,0.906522264149002,1.2696162248724008,44
knn-embedding,30,4.572099205261716e-05,0.7759249109345026,0.749384844640087,0.936180618663454,44
matrix-factorization,21,4.572099205261716e-05,0.7774938339271033,0.7458344830134737,0.9287115034919593,44
contrastive,32,4.572099205261716e-05,0.7811386681282543,0.742916496755271,0.9223553614911559,44
cascade,20,4.572099205261716e-05,0.7763565360372705,0.6330887320277945,0.6909216681118524,44
random-mix,21,4.572099205261716e-05,0.7760824883529734,0.5431229191220213,0.501754055506404,44
always-cheapest,1,4.572099205261716e-05,0.30850918059742394,,,44
always-best,1,0.0032907645930391888,0.7760824883529734,,,44
