model,mean_perf,mean_cost_usd,perf_per_dollar
gpt-4-1106-preview,0.7813998410828287,0.0032927528289996436,237.30898784778273
zero-one-ai/Yi-34B-Chat,0.6474915746499712,0.00018552225114392966,3490.1019724455696
claude-v2,0.6358056826588486,0.0024186040496479164,262.8812610941443
claude-v1,0.6301175439077185,0.0021446553963339453,293.80829432310463
gpt-3.5-turbo-1106,0.6193207660903636,0.00024326004877113185,2545.920586709426
claude-instant-v1,0.5984135682384853,0.00023293712907910245,2568.991773034482
mistralai/mixtral-8x7b-chat,0.5471148313560018,0.00013457989971778504,4065.3532399957594
WizardLM/WizardLM-13B-V1.2,0.43112721593555636,7.291440118365893e-05,5912.785525723794
meta/llama-2-70b-chat,0.3286886593418637,0.0002026650217826123,1621.8322059266354
mistralai/mistral-7b-chat,0.30611146121599037,4.572428966764392e-05,6694.723164449843
meta/code-llama-instruct-34b-chat,0.2022275803490698,0.00017204870624982875,1175.4088987767154
