lambda,cost,quality
0.0,4.57962181419567e-05,0.3020005480953686
0.05,5.242082488352974e-05,0.3100849547821321
0.1,9.707971279802686e-05,0.31488078925733076
0.15000000000000002,0.00014319113346122225,0.32228007673335163
0.2,0.00016379602685667307,0.336352425322006
0.25,0.00019535370896135926,0.3674705398739381
0.30000000000000004,0.0002680909909564264,0.4096738832556865
0.35000000000000003,0.0003582680285009592,0.4629830090435736
0.4,0.0005071555702932311,0.5297478761304467
0.45,0.0006470078405042477,0.5703685941353795
0.5,0.0008224221348314606,0.6037955604275144
0.55,0.0014285538553028224,0.6608728418744861
0.6000000000000001,0.0016569541030419294,0.6858043299534119
0.65,0.0042609156552480135,0.7139558783228281
0.7000000000000001,0.006358354940531652,0.7300698821594958
0.75,0.006782517994519046,0.7450671416826528
0.8,0.007298926112907647,0.7594203891477117
0.8500000000000001,0.007883302462044396,0.7732323924362839
0.9,0.008475501081940258,0.7777473280350781
0.9500000000000001,0.008832204002740476,0.7822348588654426
1.0,0.009085945825157577,0.7825431625102768
