regime,variant,mean_reward,mean_quality,mean_cost,post_arrival_quality,post_arrival_reward
shuffled,static,0.5620033218651223,0.6620032885722115,0.00016585542559605372,,
shuffled,fast,0.5709441078700231,0.6562277336256508,0.00014144756755275417,,
shuffled,fast+mid,0.5726060253176196,0.6579747876130446,0.0001415887711701836,,
shuffled,full (no surprise),0.5634871305554384,0.6525623458481775,0.00014773612661003014,,
shuffled,full (surprise),0.5600448438069651,0.6419155933132366,0.00013578712523979172,,
shift,static,0.5620033218651223,0.6620032885722116,0.0001658554255960537,,
shift,fast,0.5717300495063297,0.6567004658810633,0.00014092809262811727,,
shift,fast+mid,0.5723446916114168,0.6573924362839133,0.0001410563458481776,,
shift,full (no surprise),0.5703077074675947,0.6591600438476295,0.00014736646971773087,,
shift,full (surprise),0.5668331213566831,0.6515689229926006,0.00014053897122499314,,
new-model-arrival,static,0.5619110191351269,0.6620169909564264,0.00016603124088791448,0.6536996437380104,0.5536242436231117
new-model-arrival,full (surprise),0.5604662068139783,0.6445053439298438,0.0001393835149355988,0.6246642915867361,0.5426761587039606
