lambda,cost,quality
0.0,4.57962181419567e-05,0.3020005480953686
0.05,5.741784269662922e-05,0.3104960263085777
0.1,8.476968100849549e-05,0.31392162236229104
0.15000000000000002,0.00011045279802685667,0.32036174294327213
0.2,0.0001449092688407783,0.3388188544806796
0.25,0.00017684278651685392,0.36715538503699646
0.30000000000000004,0.0002505838399561524,0.41373664017539047
0.35000000000000003,0.00034568678103590023,0.4782543162510277
0.4,0.00047591324198410523,0.5325979720471362
0.45,0.0006768975302822691,0.5820293231022198
0.5,0.00089738981419567,0.6139627295149356
0.55,0.0013043809186078377,0.6545902987119758
0.6000000000000001,0.0019618498251575776,0.6926281172924089
0.65,0.0038409577182789804,0.7215812551383941
0.7000000000000001,0.006284413193203617,0.7410591942998082
0.75,0.006906262352973418,0.7524527267744587
0.8,0.007355020361194849,0.7664428610578241
0.8500000000000001,0.007999375401479858,0.7771307207454097
0.9,0.0086138939172376,0.78130994793094
0.9500000000000001,0.008993488534392984,0.7824061386681282
1.0,0.009093661176760755,0.7826801863524253
