lambda,cost,quality
17.78279410038923,4.57962181419567e-05,0.3020005480953686
13.33521432163324,4.586360646752535e-05,0.30474102493833927
10.0,4.6343422855576875e-05,0.32228007673335163
7.498942093324558,4.732560975609757e-05,0.34447793916141406
5.623413251903491,4.9549698547547276e-05,0.37496574403946287
4.216965034285822,7.105224719101124e-05,0.45763222800767334
3.1622776601683795,0.0001029842285557687,0.5883666758015894
2.371373705661655,0.00011376563058372156,0.6216634694436831
1.7782794100389228,0.00011914101123595505,0.63248150178131
1.333521432163324,0.00014512268128254315,0.6448958618799671
1.0,0.00015001992436283914,0.6510619347766511
0.5623413251903491,0.0002112124571115374,0.6754932858317347
0.4216965034285822,0.00021383735598794188,0.6760756371608659
0.31622776601683794,0.0002160791685393258,0.677856947108797
0.1333521432163324,0.0002218050578240614,0.6780556316799122
0.1,0.00022305765415182242,0.6784872567826802
0.07498942093324558,0.00022782925733077553,0.6788092628117293
0.05623413251903491,0.00026902493614688953,0.6907303370786516
0.042169650342858224,0.0003115887755549466,0.6960742669224445
0.03162277660168379,0.0003867959704028501,0.7051178405042478
0.023713737056616554,0.00048663178788709233,0.7136133187174568
0.01778279410038923,0.0006006678799671142,0.722526719649219
0.01333521432163324,0.000737300957522609,0.7333516031789531
0.01,0.0008469412743217319,0.7403398191285283
0.007498942093324558,0.0009279682060838587,0.7454097012880241
0.005623413251903491,0.0019100312929569744,0.7549328583173472
0.004216965034285823,0.0026685138224171005,0.7630515209646479
0.0023713737056616554,0.0027443867739106605,0.7647643189915045
0.001333521432163324,0.0027749966396272956,0.7652096464784872
0.001,0.002790468515757742,0.7667169087421212
0.0,0.0028403401934776647,0.7686352425322006
