lambda,cost,quality
10.0,4.6006631953959994e-05,0.3065702932310222
7.498942093324558,4.6490367223896965e-05,0.32438339271033156
5.623413251903491,4.815671416826528e-05,0.3608317347218416
4.216965034285822,5.028294053165251e-05,0.382755549465607
3.1622776601683795,6.955860509728693e-05,0.46685393258426966
2.371373705661655,0.00010336322280076733,0.5810838585913949
1.7782794100389228,0.00011859138120032885,0.619121677171828
1.333521432163324,0.0001243872841874486,0.6371608659906823
1.0,0.00012713118004932858,0.6394286105782406
0.7498942093324559,0.00013036714880789257,0.6399424499862977
0.5623413251903491,0.00021381262702110167,0.6633392710331598
0.4216965034285822,0.00021930172650041105,0.6650520690600165
0.31622776601683794,0.0002216282269114826,0.6675870101397643
0.07498942093324558,0.0002392930802959715,0.6688544806796383
0.05623413251903491,0.00028699834201151,0.6759112085502877
0.042169650342858224,0.0005313628254316251,0.7001849821869005
0.03162277660168379,0.000909220923540696,0.7376952589750616
0.023713737056616554,0.0011906562208824334,0.7603453000822143
0.01778279410038923,0.0015204110441216772,0.7674705398739381
0.01333521432163324,0.0023373595505617978,0.776445601534667
0.01,0.002869272307481502,0.7791518224171006
0.007498942093324558,0.002979689654699918,0.7793231022197863
0.005623413251903491,0.0030351361468895586,0.7802137571937517
