lambda,cost,quality
0.0,4.6006631953959994e-05,0.3065702932310222
0.05,0.00021561995067141682,0.32843244724582077
0.1,0.0003684768429706769,0.35411756645656345
0.15000000000000002,0.0005336034804055906,0.37918607837763774
0.2,0.0006903279802685668,0.40069882159495757
0.25,0.0008384794190189092,0.4249451904631406
0.30000000000000004,0.001008703891477117,0.447430802959715
0.35000000000000003,0.0011583759660180873,0.469813647574678
0.4,0.0013300629761578515,0.49171690874212115
0.45,0.001519549931488079,0.5213277610304193
0.5,0.0016382948479035354,0.5367086873115923
0.55,0.0018460531378459851,0.5662578788709236
0.6000000000000001,0.0020170485886544256,0.5883940805700192
0.65,0.002177889668402302,0.6111811455193203
0.7000000000000001,0.0023227967388325574,0.6414839682104686
0.75,0.0025099610578240617,0.6662852836393532
0.8,0.0026430573033707867,0.6908605097286927
0.8500000000000001,0.0028312007947382846,0.7126610030145245
0.9,0.0029661215949575224,0.732755549465607
0.9500000000000001,0.003135191531926555,0.7535283639353247
1.0,0.003297725404220334,0.7793916141408606
